dataset,method,k,winner,full_ranking
scores_3_neg,cluster,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,cluster,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,cluster,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,cluster,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,cluster,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,cluster,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,cluster,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,cluster,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,cluster,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,cluster,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,cluster,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
